task,category
Play cricket practice net session,STR
Bowl 10 overs in the practice match today it will be tiring,STR
Play full 20 over cricket match,STR
Play football match full 90 min,STR
Play throwball in the society event on saturday evening with team,STR
Swim race with cousin in pool,STR
Play tennis for one hour,STR
Play squash in the evening club,STR
Go for morning football with team,STR
Play gully cricket with the boys in the lane after school time,STR
Walk to office instead of cab,STR
Get down one stop and walk,STR
Walk 8 km on weekend morning,STR
Do a 2 hour long walk,STR
Walk on the beach 4 km early morning when it is empty,STR
Evening walk 45 min without phone,STR
Walk the dog for 30 min,STR
Take the dog for long walk,STR
Complete 12000 steps before evening,STR
Beat yesterday step count today by walking after every meeting,STR
Do leg day even if sore,STR
Train legs twice this week,STR
Do back workout with deadlifts,STR
Finish 5 sets of rows,STR
Do cable rows at the gym and focus on the back,STR
Chest fly 3 sets today,STR
Do shrugs with heavy dumbbells,STR
Forearm workout after gym session,STR
Do grip strength work today,STR
Try one arm pushup practice at home for 10 min daily,STR
Shift all books to new shelf,STR
Carry the gas cylinder up stairs,STR
Change the water can in office,STR
Help dad in shifting the cupboard,STR
Clean the car inside and out with water and dry cloth,STR
Wash the balcony with water pipe,STR
Clean all fans standing on the ladder,STR
Shift the plant pots to terrace,STR
Carry the mattress to the terrace,STR
Beat the carpet and clean it on the terrace this sunday,STR
Start morning workout routine again,STR
Restart gym after 2 weeks break,STR
Do not skip workout tomorrow,STR
Workout 5 days this week target,STR
Complete weekly workout target today otherwise whole week goes waste,STR
Do evening workout at the park,STR
Park workout with pull up bar,STR
Use the open gym in park,STR
Outdoor workout in the society garden,STR
Do exercise for 40 min today even if getting late for office,STR
Push till failure on last set,STR
Do drop sets on chest today,STR
Try super set arms workout,STR
Do 6 sets of heavy squats,STR
Lift heavier than last week on every machine at the gym,STR
Add one more set everywhere today,STR
Do 12 rounds of the circuit,STR
Finish workout without long rest,STR
Reduce rest time between sets,STR
Do burnout set at the end of every workout from today,STR
Do 1 hour cardio session,STR
Run and cycle same day,STR
Do brick workout run after cycle,STR
Endurance run 90 min slow,STR
Practice for the office marathon happening next month at the park,STR
Train for 10k race next month,STR
Do hill walk with backpack,STR
Carry heavy backpack for trek practice,STR
Practice trek with loaded bag,STR
Do stamina building run today slow pace but longer distance,STR
Compelete todays gym session,STR
Do excercise in the morning,STR
Morning wourkout before the meeting,STR
Do 20 pushps before breakfast,STR
Runing 4 km today evening,STR
Swiming practice at club pool,STR
Cyling to the office today,STR
Streanth training 3 days week,STR
Gym sesion in the evening,STR
Do squts 100 today morning before going for the office work,STR
Do 3 km walk with dad,STR
Take the long route walking home,STR
Go to ground for exercise,STR
Do morning drill in the ground,STR
Join the running group sunday morning,STR
Do the 21 day fitness challenge,STR
Complete all reps without cheating today,STR
Do full body stretch and workout,STR
Practice handstand against the wall,STR
Do bear crawl across the room 5 times it is very tiring,STR
Wall push ups 3 sets today,STR
Do decline pushups 4 sets,STR
Diamond pushups 3 sets evening,STR
Do 15 chin ups today,STR
Hanging leg raises 3 sets,STR
Dead hang for 1 min,STR
Do monkey bars at the park,STR
Rope climb practice in ground,STR
Do step ups on the bench,STR
Box jumps 4 sets today on the bench outside the park,STR
Help in lifting the AC unit,STR
Move the fridge for cleaning behind,STR
Shift the washing machine to balcony,STR
Carry the cot to other room,STR
Unload the truck with the boxes,STR
Stack all the bricks near wall,STR
Dig the soil for new plants,STR
Break the old shelf and remove,STR
Carry the ladder to the terrace,STR
Push the heavy table to corner for making space in room,STR
Do 30 min wokrout before bath,STR
Finish gym before office time,STR
Do evening gym session today also,STR
Complete 3 workouts this weekend,STR
Do sprint intervals on the ground,STR
Run up and down the stairs,STR
Do 10 rounds of the ground,STR
Jog 4 rounds of the park,STR
Do warm up jog before match,STR
Play cricket whole afternoon in sun on sunday with the old team,STR
Study exam topics today,INT
Finish DSA revision for placement,INT
Solve 3 leetcode problems daily,INT
Read the ML paper on attention,INT
Complete week 2 of the course,INT
Debug the login crash issue,INT
Fix the failing unit test,INT
Learn how docker volumes work,INT
Watch the system design video,INT
Revise operating system notes,INT
Complete assignment before friday,INT
Study for semester exam,INT
Read documentation of fast api,INT
Understand how oauth flow works,INT
Finish the pending lab record,INT
Learn basics of kubernetes,INT
Go through last year question paper,INT
Practice aptitude questions for placement,INT
Study data structures chapter 4,INT
Complete the coursera assignment,INT
Learn git rebase properly,INT
Study network layer concepts,INT
Solve the dynamic programming set,INT
Read spring boot documentation,INT
Finish reading the research paper,INT
Understand transformer architecture properly,INT
Complete python automation tutorial,INT
Study database normalization rules,INT
Revise sql joins before interview,INT
Learn how redis caching works,INT
Read about microservices patterns,INT
Complete the android course module,INT
Study compiler design unit 3,INT
Debug the memory leak in service,INT
Learn terraform basics this week,INT
Read the kafka getting started guide,INT
Solve previous year gate questions,INT
Study probability and statistics,INT
Learn how to write good tests,INT
Read clean code chapter 5,INT
Understand big o notation properly,INT
Complete the react tutorial series,INT
Study graph algorithms today,INT
Revise java collections framework,INT
Read about event driven architecture,INT
Learn postgres query optimization,INT
Complete the aws certification module,INT
Study thermodynamics for exam,INT
Finish the physics numericals,INT
Read organic chemistry chapter,INT
Study accountancy for CA exam,INT
Revise income tax chapters,INT
Learn about GST filing rules,INT
Read the law casebook chapter,INT
Study anatomy for medical exam,INT
Revise pharmacology notes tonight,INT
Learn basics of financial modelling,INT
Complete the power bi course,INT
Learn tableau dashboard building,INT
Read about market research methods,INT
Study consumer behaviour chapter,INT
Complete economics assignment today,INT
Learn german grammar lesson 5,INT
Practice japanese kanji writing rules,INT
Study spanish verb conjugation,INT
Read the hindi literature chapter,INT
Prepare notes for history exam,INT
Study indian polity chapters,INT
Revise geography map work,INT
Read about mughal empire,INT
Study current affairs for exam,INT
Solve the reasoning question set,INT
Practice quantitative aptitude problems,INT
Study for the bank exam,INT
Prepare for the UPSC prelims,INT
Revise the ssc syllabus topics,INT
Read newspaper editorial for exam,INT
Study environmental science unit,INT
Complete the biology practical record,INT
Learn how photosynthesis actually works,INT
Study cell biology chapter 3,INT
Revise genetics notes before test,INT
Read about climate models,INT
Learn the periodic table trends,INT
Study chemical bonding concepts,INT
Solve the integration problems,INT
Practice differentiation questions today,INT
Study linear algebra matrices,INT
Learn eigenvalues and eigenvectors,INT
Revise calculus before the test,INT
Study discrete mathematics topics,INT
Learn set theory basics,INT
Practice permutation combination sums,INT
Study trigonometry identities today,INT
Learn about complex numbers,INT
Read the electrical machines chapter,INT
Study circuit analysis methods,INT
Learn about three phase motors,INT
Read the control systems notes,INT
Study signals and systems unit,INT
Learn about digital logic gates,INT
Read the microprocessor manual,INT
Study embedded systems basics,INT
Learn arduino programming today,INT
Read about IoT protocols,INT
Study sensor interfacing methods,INT
Learn how mqtt protocol works,INT
Read the raspberry pi guide,INT
Study computer vision basics,INT
Learn opencv image processing,INT
Read about object detection models,INT
Study natural language processing,INT
Learn about word embeddings,INT
Study reinforcement learning basics,INT
Learn about q learning algorithm,INT
Read the deep learning book chapter,INT
Study neural network backpropagation,INT
Learn pytorch tensor operations,INT
Read tensorflow documentation today,INT
Study model evaluation metrics,INT
Learn about cross validation,INT
Read about feature engineering,INT
Study data preprocessing techniques,INT
Learn pandas dataframe operations,INT
Read numpy array documentation,INT
Study matplotlib plotting basics,INT
Learn about hypothesis testing,INT
Read the statistics textbook chapter,INT
Study regression analysis methods,INT
Learn about time series forecasting,INT
Read about anomaly detection,INT
Study clustering algorithms today,INT
Read the recommender systems paper,INT
Study information retrieval basics,INT
Learn about search ranking,INT
Read the distributed systems paper,INT
Study consensus algorithms like raft,INT
Learn about CAP theorem,INT
Read about database sharding,INT
Study replication strategies today,INT
Learn about message queues,INT
Read the system design primer,INT
Study load balancing techniques,INT
Learn about caching strategies,INT
Read about rate limiting design,INT
Study api gateway patterns,INT
Learn about service mesh,INT
Read the grpc documentation,INT
Study rest api best practices,INT
Learn about graphql schemas,INT
Read about websocket protocol,INT
Learn about cors properly,INT
Read the security best practices,INT
Study owasp top ten,INT
Learn about sql injection prevention,INT
Read about jwt token security,INT
Study encryption basics today,INT
Learn about hashing algorithms,INT
Read the tls handshake explanation,INT
Study linux file permissions,INT
Learn bash scripting basics,INT
Read about systemd unit files,INT
Study process management in linux,INT
Learn about cgroups and namespaces,INT
Read the docker networking docs,INT
Study kubernetes pod lifecycle,INT
Learn helm chart basics,INT
Read about ci cd pipelines,INT
Study github actions workflows,INT
Read the ansible documentation,INT
Study monitoring and observability,INT
Learn prometheus query language,INT
Read about distributed tracing,INT
Study log aggregation methods,INT
Learn about error budgets,INT
Read the sre book chapter,INT
Study incident response process,INT
Learn about chaos engineering,INT
Read about performance profiling,INT
Study jvm garbage collection,INT
Learn about memory management,INT
Read the compiler optimization notes,INT
Study assembly language basics,INT
Learn about cpu cache behaviour,INT
Read about branch prediction,INT
Study concurrency and threading,INT
Learn about race conditions,INT
Read the async programming guide,INT
Learn about coroutines in kotlin,INT
Read the android lifecycle docs,INT
Study jetpack compose basics,INT
Learn about room database,INT
Read about dependency injection,INT
Study mvvm architecture pattern,INT
Learn about state management,INT
Read the swift language guide,INT
Study ios app architecture,INT
Learn about flutter widgets,INT
Read the react native docs,INT
Study web performance optimization,INT
Learn about lazy loading,INT
Read the browser rendering pipeline,INT
Study css grid and flexbox,INT
Learn about accessibility standards,INT
Read the typescript handbook,INT
Study javascript closures properly,INT
Learn about prototypal inheritance,INT
Study express middleware patterns,INT
Learn about server side rendering,INT
Read the nextjs documentation,INT
Study webpack bundling basics,INT
Learn about tree shaking,INT
Read about code splitting,INT
Study version control workflows,INT
Learn about git bisect,INT
Read the semantic versioning spec,INT
Study code review best practices,INT
Learn about design patterns,INT
Read the refactoring book chapter,INT
Study solid principles today,INT
Learn about domain driven design,INT
Read about hexagonal architecture,INT
Study test driven development,INT
Learn about mocking frameworks,INT
Read the integration testing guide,INT
Study end to end testing,INT
Read about mutation testing,INT
Study static analysis tools,INT
Learn about linting rules,INT
Read the style guide carefully,INT
Prepare notes for tomorrow class,INT
Revise everything before the viva,INT
Make summary of the chapter,INT
Solve the sample paper fully,INT
Attempt the mock test online,INT
Check the answer key after test,INT
Analyse mistakes from last test,INT
Make flashcards for hard topics,INT
Complete anki reps for today,INT
Read two pages of the manual,INT
Watch the tutorial and take notes,INT
Try the code example yourself,INT
Build a small demo project,INT
Fix the bug in my side project,INT
Write documentation for the api,INT
Update the readme with setup steps,INT
Research paper completetion work,INT
Check PR comments on the repo,INT
Review the pull request from team,INT
Investigate why the build is slow,INT
Profile the slow database query,INT
Find out why memory is spiking,INT
Reproduce the reported bug locally,INT
Write a script to automate this,INT
Set up the local dev environment,INT
Migrate the old code to new version,INT
Upgrade the dependency safely,INT
Read the changelog before upgrading,INT
Compare the two library options,INT
Evaluate which database fits better,INT
Write a design doc for the feature,INT
Estimate the effort for this task,INT
Break down the epic into tasks,INT
Trace how the request flows,INT
Draw the architecture on paper,INT
Understand the existing data model,INT
Read through the config files,INT
Learn what this old script does,INT
Figure out the deployment process,INT
Study the monitoring dashboards,INT
Check error logs from yesterday,INT
Analyse the crash report data,INT
Look into the failed job reason,INT
Understand the retry logic here,INT
Study how the sync worker runs,INT
Read about background job design,INT
Learn about worker queue patterns,INT
Study offline first architecture,INT
Learn about conflict resolution,INT
Read the sync algorithm paper,INT
Study crdt basics today,INT
Learn about vector clocks,INT
Study idempotency in apis,INT
Learn about exactly once delivery,INT
Read the transaction isolation levels,INT
Study deadlock prevention methods,INT
Learn about optimistic locking,INT
Read about connection pooling,INT
Study index design for queries,INT
Learn about query execution plans,INT
Read the explain analyze output,INT
Study partitioning strategies today,INT
Learn about materialized views,INT
Read about columnar storage,INT
Study olap versus oltp,INT
Learn about data warehousing,INT
Read the etl pipeline guide,INT
Study stream processing basics,INT
Learn about windowing functions,INT
Read about exactly once semantics,INT
Accept the mistake and move ahead,WIS
Accept what i cannot change,WIS
Adjust the routine that is failing,WIS
Apply for the new passport,WIS
Archive the completed projects,WIS
Audit the expenses of last quarter,WIS
Back up the important files,WIS
Be grateful for small things,WIS
Be honest about what i will not do,WIS
Block the calendar for focus time,WIS
Book the gas cylinder online,WIS
Book the plumber for the leak,WIS
Book the RTO appointment online,WIS
Book the therapy session,WIS
Call the bank about the issue,WIS
Cancel the gym membership properly,WIS
Cancel the subscription i never use,WIS
Cancel the unused cloud storage plan,WIS
Capture the thought in my notes,WIS
Change the old weak passwords,WIS
Check bank statement for wrong charges,WIS
Check credit card statement for errors,WIS
Check goodnotes subscription expiring soon,WIS
Check holding discrepancies in demat,WIS
Check how many hours i wasted,WIS
Check how the investments performed,WIS
Check if all payments are recorded,WIS
Check if that old plan still makes sense,WIS
Check if the EMI got deducted,WIS
Check if the streak is broken,WIS
Check if the trial is ending,WIS
Check last date for the application,WIS
Check progress on my yearly goals,WIS
Check reimbursement refund of 12K,WIS
Check the amazon prime renewal date,WIS
Check the aws billing for the month,WIS
Check the calendar for birthdays,WIS
Check the calendar for next week,WIS
Check the cancellation policy first,WIS
Check the cibil score this month,WIS
Check the fastag balance today,WIS
Check the login activity on email,WIS
Check the pending items from last month,WIS
Check the provident fund balance,WIS
Check the refund status online,WIS
Check the rent agreement renewal,WIS
Check the result announcement date,WIS
Check the savings account balance,WIS
Check the ssl certificate expiry,WIS
Check the stat up setup status,WIS
Check the status of the ticket,WIS
Check the tax saving options left,WIS
Check the terms before subscribing,WIS
Check the warranty on the laptop,WIS
Check visa application status,WIS
Check what the policy actually covers,WIS
Check which subscriptions are auto renewing,WIS
Check which tasks keep getting postponed,WIS
Check who is buying the cycle,WIS
Claim the HRA properly this year,WIS
Claim the warranty on the device,WIS
Clean the study table properly,WIS
Clean up the downloads folder,WIS
Clean up the old todo items,WIS
Clean up the tags in notes,WIS
Clear out the old emails,WIS
Clear the credit card bill fully,WIS
Close the loop on this matter,WIS
Close the tasks that are done,WIS
Collect form 16 from office,WIS
Collect the certificate from college,WIS
Compare prices before buying,WIS
Compare the two insurance policies,WIS
Count my blessings today,WIS
Count the books finished this year,WIS
Cross check the numbers again,WIS
Cut the unnecessary commitments,WIS
Decide on the job offer carefully,WIS
Decide the priority for this month,WIS
Decide the three main tasks today,WIS
Decide whether to buy or rent,WIS
Declutter the wardrobe this weekend,WIS
Delete the apps that waste time,WIS
Delete the old unused apps,WIS
Delete the tasks i will never do,WIS
Dispute the wrong cibil entry,WIS
Dispute the wrong transaction,WIS
Do a digital detox this sunday,WIS
Do a monthly self review,WIS
Do guided meditation tonight,WIS
Do not rush into this choice,WIS
Do the breathing exercise today,WIS
Do the evening prayer properly,WIS
Do the exercise the therapist gave,WIS
Do the important thing first,WIS
Do the morning pages today,WIS
Do the weekly review properly,WIS
Download and count 12 apps,WIS
Enable two factor on all accounts,WIS
Escalate if no response comes,WIS
Estimate the cost before booking,WIS
File the important papers properly,WIS
File the ITR before deadline,WIS
Fill the pending form before deadline,WIS
Find the bill for the phone,WIS
Finish one thing before starting next,WIS
Follow up after one week,WIS
Follow up on the delayed order,WIS
Follow up on the pending refund,WIS
Forgive and let this go,WIS
Gather documents for tax filing,WIS
Get CA confirmation for filing,WIS
Get clarity on this confusion,WIS
Get the vehicle pollution certificate,WIS
Get the water purifier serviced,WIS
Give away the clothes i never wear,WIS
Give myself some quiet time,WIS
Go for a walk without headphones,WIS
Go to the temple this weekend,WIS
Investigate the unknown charge,WIS
Journal about the difficult feeling,WIS
Keep a copy of the id proofs,WIS
Keep a record of my achievements,WIS
Keep a spare key with neighbour,WIS
Keep proof of the complaint,WIS
Keep score of the habit streak,WIS
Keep the documents in one place,WIS
Keep the phone away for an hour,WIS
Keep the tickets in one folder,WIS
Keep track of the promises i made,WIS
Label the storage boxes,WIS
Learn from what went wrong,WIS
Link aadhaar with the pan card,WIS
List the habits i want to drop,WIS
Log the hours worked today,WIS
Look back at the last month honestly,WIS
Maintain the work log properly,WIS
Make a budget for next month,WIS
Make a decision and move on,WIS
Make a folder for all bills,WIS
Make a list of emergency numbers,WIS
Make a list of monthly dues,WIS
Make a list of things to buy,WIS
Make notes from the podcast,WIS
Make the CA payment this week,WIS
Make the todo list for tomorrow,WIS
Mark the habit tracker today,WIS
Match the receipts with statement,WIS
Meditate before starting work,WIS
Merge the duplicate notes,WIS
Move money to the FD account,WIS
Note down all pending payments,WIS
Note down anniversary dates,WIS
Note down sharemarket important points,WIS
Note down the house repairs needed,WIS
Note down the wifi password somewhere,WIS
Note down what i learned today,WIS
Note down what went well today,WIS
Note the app count for record,WIS
Note the appointment date properly,WIS
Note the car service due date,WIS
Note the check in timing,WIS
Note the complaint reference number,WIS
Note the deadline for the form,WIS
Note the domain renewal date,WIS
Note the idea before i forget,WIS
Note the locker rent due date,WIS
Note the time spent on each task,WIS
Note what i should stop doing,WIS
Note where i kept the spare keys,WIS
Notice what triggers my stress,WIS
Organise the cables and chargers,WIS
Organise the google drive folders,WIS
Organise the note taking system,WIS
Pay the electricity bill today,WIS
Pay the EMI before the due date,WIS
Pay the health insurance premium,WIS
Pay the society maintenance charges,WIS
Pay the vehicle insurance renewal,WIS
Pay the water bill before due date,WIS
Plan the budget for the trip,WIS
Plan the day before it starts,WIS
Plan the monthly grocery list,WIS
Plan the next five years roughly,WIS
Plan the week on sunday evening,WIS
Practice mindfulness while walking,WIS
Practice patience with people,WIS
Prioritise what actually matters today,WIS
Process what happened last week,WIS
Protect the time for deep work,WIS
Raise a complaint for the faulty item,WIS
Read a few pages of philosophy,WIS
Read something that makes me think,WIS
Read the agreement before signing,WIS
Read the bhagavad gita chapter,WIS
Read the fine print carefully,WIS
Read the fund factsheet before investing,WIS
Read the refund rules before booking,WIS
Rebalance the portfolio this quarter,WIS
Recharge the metro card before travel,WIS
Recharge the mobile before expiry,WIS
Reconcile the upi transactions,WIS
Record the knox details properly,WIS
Reflect on how the day went,WIS
Reflect on the feedback i received,WIS
Reflect on the mistake i made,WIS
Renew the bike registration,WIS
Renew the driving licence,WIS
Renew the hosting before it expires,WIS
Renew the LIC policy premium,WIS
Renew the newspaper subscription,WIS
Renew the passport before expiry,WIS
Renew the wifi plan this month,WIS
Reorganise my project folders,WIS
Reply to the pending important mails,WIS
Reschedule the meeting i missed,WIS
Research before making the purchase,WIS
Return the product before window closes,WIS
Review if i am on track,WIS
Review my monthly expenses,WIS
Review the domain list i own,WIS
Review the habit data monthly,WIS
Review the mutual fund portfolio,WIS
Review the notes from the book,WIS
Review the old ideas folder,WIS
Review what i finished this week,WIS
Review who has access to my drive,WIS
Revisit the notes from last year,WIS
Say no to things i cannot do,WIS
Say thanks for what i have,WIS
Scan and save important documents,WIS
Schedule the ac servicing,WIS
See which habit is not working,WIS
Sell the old cycle finally,WIS
Set a reminder to check again,WIS
Set reminders for all renewals,WIS
Set the goals for this quarter,WIS
Set up autopay for the bills,WIS
Share the documents with family,WIS
Simplify the daily schedule,WIS
Sit and think without distraction,WIS
Sit quietly for ten minutes,WIS
Sit with the discomfort for a while,WIS
Sleep on this decision tonight,WIS
Sort out the old books,WIS
Sort the inbox to zero,WIS
Spend some time without screens,WIS
Start the monthly SIP properly,WIS
Stay off the phone after ten,WIS
Stop multitasking so much,WIS
Stop overthinking about that thing,WIS
Stop postponing this decision,WIS
Submit the documents to office,WIS
Submit the investment proofs,WIS
Summarise what i read this week,WIS
Take a break from social media,WIS
Take back the cycle thing,WIS
Take time to decide on this,WIS
Talk to owner about rent renewal,WIS
Talk to the counsellor this week,WIS
Tell family where the papers are,WIS
Think about the criticism honestly,WIS
Think about what i discussed in therapy,WIS
Think about what i want this year,WIS
Think about what is draining me,WIS
Think about where i want to be,WIS
Think about why i reacted like that,WIS
Think before reacting next time,WIS
Think properly before taking the loan,WIS
Throw away the useless receipts,WIS
Track how much i read this month,WIS
Track the courier delivery status,WIS
Track the daily screen time,WIS
Track where the money went this month,WIS
Transfer the pf to new account,WIS
Try to see their side also,WIS
Understand before judging someone,WIS
Understand my own pattern here,WIS
Unsubscribe from spam senders,WIS
Unsubscribe from the useless newsletters,WIS
Update address in aadhaar card,WIS
Update the emergency contact list,WIS
Update the expense sheet today,WIS
Update the kyc for mutual fund,WIS
Update the nominee in bank account,WIS
Update the PAN card details,WIS
Update the password manager entries,WIS
Update the personal wiki,WIS
Update the progress chart,WIS
Update the resume with new work,WIS
Verify the discrepancy in the report,WIS
Weigh the pros and cons of shifting,WIS
Write about what is bothering me,WIS
Write down important account details,WIS
Write down my long term plan,WIS
Write down the business idea,WIS
Write down the journal entry,WIS
Write down the meeting decisions,WIS
Write in my diary tonight,WIS
Write three things i am grateful for,WIS
Do guitar finger exercises,DEX
Do shadow boxing technique work,DEX
Do taekwondo form practice,DEX
Do the abacus calculation practice,DEX
Do the acrylic blending practice,DEX
Do the archery aim practice,DEX
Do the audio mixing practice,DEX
Do the balance beam practice,DEX
Do the barber scissor practice,DEX
Do the beatboxing pattern practice,DEX
Do the bike trial technique,DEX
Do the bowling action practice,DEX
Do the brush cutting in practice,DEX
Do the chisel control practice,DEX
Do the chocolate tempering practice,DEX
Do the clarinet finger drill,DEX
Do the cpr technique practice,DEX
Do the crimp grip practice,DEX
Do the crochet chain practice,DEX
Do the cube algorithm practice,DEX
Do the devanagari calligraphy practice,DEX
Do the diving form practice,DEX
Do the djembe hand technique,DEX
Do the dosa spreading practice,DEX
Do the dribbling cone drill,DEX
Do the driving practice in traffic,DEX
Do the figma component practice,DEX
Do the finger spelling practice,DEX
Do the flower arrangement practice,DEX
Do the footwork drill in badminton,DEX
Do the frisbee throw practice,DEX
Do the garnish cutting practice,DEX
Do the gesture drawing exercise,DEX
Do the hair braiding practice,DEX
Do the handwriting improvement practice,DEX
Do the kanjira thumb roll practice,DEX
Do the kathak footwork practice,DEX
Do the kayak paddle practice,DEX
Do the knot tying for fishing,DEX
Do the lighting setup practice,DEX
Do the line art practice,DEX
Do the machine stitching practice,DEX
Do the macrame practice,DEX
Do the macro photography practice,DEX
Do the magic trick practice,DEX
Do the mandolin tremolo practice,DEX
Do the measuring and marking practice,DEX
Do the mehndi cone practice,DEX
Do the microscope slide preparation,DEX
Do the onion chopping practice,DEX
Do the origami crane practice,DEX
Do the paradiddle practice today,DEX
